Gamma_GHz,R_QPP_Delta_0.6_GHz,Err_Delta_0.6_GHz,R_QPP_Delta_1.9_GHz,Err_Delta_1.9_GHz,R_QPP_Delta_5.7_GHz,Err_Delta_5.7_GHz,R_QPP_Delta_17.0_GHz,Err_Delta_17.0_GHz,R_QPP_Delta_51.1_GHz,Err_Delta_51.1_GHz,FGR_Delta_0.6_GHz,FGR_Delta_1.9_GHz,FGR_Delta_5.7_GHz,FGR_Delta_17.0_GHz,FGR_Delta_51.1_GHz
0.1,0.455656601832871,0.003109315108618,0.0901223713747021,0.000271530825834292,0.0496386202483162,0.000171305192208895,0.0159221193169541,4.15066241088131e-05,0.00588955533691643,1.47767280287977e-05,0.542511499622264,0.162928050206623,0.0543144715377607,0.0181050135465156,0.00603501154152132
0.15656065579431,0.367179381640377,0.00309722043633158,0.121529995397888,0.000296140865408023,0.0685169111669314,5.58947879629576e-05,0.0312706878507523,8.49265102775089e-05,0.00844244139280281,1.90413489798273e-05,0.847909911234949,0.25504196249236,0.0850336383110124,0.0283452740673493,0.0094484516513753
0.245112389427443,0.587248208716861,0.00367614684372739,0.190065801774197,0.000543016685538662,0.120038049268187,0.000354709450240893,0.0391394025455268,7.2146424551155e-05,0.0148953385735798,3.0074056766966e-05,1.32195751356341,0.39914477031315,0.133123640346968,0.0443773402313225,0.0147925502108788
0.383749564320707,0.966206469923551,0.00470483731819861,0.333560441533441,0.00088289043392049,0.174361948022556,0.000398218098379167,0.0668820755985069,0.000129661188826409,0.0231452044856674,3.39015993961391e-05,2.04867460953285,0.624326374498986,0.208397828180827,0.0694766615553769,0.023159284235491
0.600800834508305,1.64977577317012,0.0105949128649845,0.550107980716299,0.000893462394724129,0.271042307678832,0.000450410372416136,0.112647808033092,0.000137545966807081,0.0356140984411889,4.90344868238924e-05,3.12917400548831,0.975239973474093,0.326186846308783,0.108770072636021,0.0362582145182352
0.940617726523888,2.536955271487,0.00764005984020441,0.849377447865452,0.00156258026158161,0.436868145803144,0.000611460967835309,0.165131064711305,0.000187946542628878,0.0530961532089061,5.7308478208429e-05,4.61897293559306,1.51841807756768,0.510365204702154,0.170279457406027,0.0567656657241413
1.47263728116332,2.52257109831662,0.00961455213395562,1.09313135148499,0.0016752307321794,0.778727548352846,0.000703710686275968,0.244193407866805,0.000241499205398092,0.0872689554790601,6.66808375632678e-05,6.31687803974922,2.34542607092915,0.797824209061718,0.26654581587142,0.0888710380568953
2.30557058486079,2.84778526878554,0.0109563610624892,1.67825020085016,0.00223793158142854,1.00909209438156,0.00113430944470105,0.401554236579752,0.000538479258384563,0.1364812310993,0.000119595332955904,7.41840216584582,3.55449823428345,1.24446739586885,0.417133966485229,0.139130708301252
3.60961642745876,2.83362893296743,0.0113145176488392,2.6211111337347,0.0059070066790004,1.44711933885195,0.00230472574058947,0.638391596640751,0.000640763943972472,0.206010853598144,0.000145029944853393,6.80923429283449,5.15322346164551,1.93083667352508,0.652408747401099,0.217799501208073
5.65123915048856,2.994376304029,0.00702346009398821,3.817717984718,0.0102848148536525,2.2529273954081,0.00272240989204632,0.939489055952829,0.00126616801245413,0.339276891886931,0.000298275063020449,4.66829694692401,6.78448939356063,2.95744644803987,1.01889411160669,0.340894538133356
8.84761707450966,2.89413069727522,0.00917673900717234,4.02529414747769,0.00782099808429326,3.40570665630077,0.00584134986260087,1.45412751535538,0.00115456072552903,0.462519219681248,0.000294151859933424,2.51271019281572,7.44459501486304,4.39397108110442,1.58558020223729,0.533347093099169
13.8518873140216,2.04502043375486,0.00427463690132542,4.76850257044435,0.00852852217077165,4.40625115877682,0.00322128271396941,2.11948662179399,0.00195532191778134,0.78902118560378,0.000830570780129152,1.16699318142797,6.2373172249172,6.09451731093611,2.4461592792528,0.833634294052853
21.6866056187211,1.72350962901297,0.00259525374286196,4.40764876744682,0.00735475752320226,5.41546472525862,0.00374446250025888,3.09443889938836,0.00443615655430534,1.21986493472446,0.000726244314435042,0.50366608311563,3.92698377697057,7.34898080365564,3.69635771092037,1.29988250518785
33.9526919761953,1.14951086564339,0.00356770220859801,4.37454817704952,0.00659980956722043,6.26084953490546,0.00635952721030416,4.23873344006297,0.00387841537701755,1.77303926144793,0.0016947976256658,0.210386416519874,1.99783324875384,7.00877748507943,5.32348481060499,2.01514857925449
53.1565572177533,0.8823741847345,0.00232567879923238,3.76800409709754,0.00848034121033295,6.94768251287408,0.00644323909096643,5.67418031593475,0.00372207862204441,2.61745547895079,0.00196130837443919,0.0866716148185178,0.901059413902316,4.99567805101454,6.91356826256481,3.08047106078075
83.2222545777921,0.552129590792136,0.000982820069283743,2.73240358191514,0.00668771751229919,6.4246996320721,0.00377469622855695,6.39978999724677,0.00393210887520277,3.63998389555271,0.00186273440319802,0.0355011973274004,0.383734843220735,2.764130251963,7.41191062496217,4.55567468793318
130.293307533801,0.424439991821379,0.0010501623875157,1.87545737199696,0.00223297204454674,4.97285171219787,0.00600498915555675,7.08112013284099,0.00322572314370402,4.33573327917942,0.00297017330667708,0.0145072608710653,0.159377803112976,1.30312489218183,6.03169465443476,6.25574415025973
203.988056731016,0.282980206333423,0.000601787652589181,1.23586600641621,0.00197366910702619,3.68040106086704,0.00668948782934179,5.78537614248323,0.00282980573467269,5.05019356311162,0.00305670642394047,0.00592255491206668,0.0655022144684843,0.566350031392082,3.70311645931737,7.40237415814382
319.365039360146,0.195898981754172,0.000727282125343718,0.921613875039598,0.00138072968017703,2.39788583977214,0.00249208757743733,4.6023632482177,0.00350858115289217,5.13198763794765,0.00408850703453736,0.00241691707255988,0.0268039046019547,0.237282464703509,1.85464068414566,6.8681972668221
500,0.125074254813662,0.00024922098609748,0.551478859311638,0.000928501996641668,1.79848580699525,0.00201648129622565,3.43292988002604,0.00331796142821592,4.28876722811406,0.00289614692148282,0.000986153679149971,0.0109488100107321,0.0978746623053294,0.829928399121049,4.75963789493423
